id,year,month,metro,city,biz,custCnt,powerUsage,bill,unitCost
1,2007,1,전체,전체,"농업, 임업 및 어업 ",971757,510657046,23281269712,45.6
2,2007,1,전체,전체,광업 ,14106,145882227,5869198480,40.2
3,2007,1,전체,전체,제조업 ,144970,9698318215,587940447343,60.6
4,2007,1,전체,전체,"전기, 가스, 증기 및 수도사업 ",1874,347826382,22812061002,65.6
5,2007,1,전체,전체,도매 및 소매업,21770,100295217,9201158461,91.7
6,2007,1,전체,전체,운수업,340069,927562464,85261240550,91.9
7,2007,1,전체,전체,숙박 및 음식점업 ,40116,347145964,27076613746,78.0
8,2007,1,전체,전체,"출판영상,방송통신정보서비스업",9984,403083894,27084624095,67.2
9,2007,1,전체,전체,금융 및 보험업 ,62234,318847003,26042178434,81.7
10,2007,1,전체,전체,"전문, 과학 및 기술 서비스업 ",517461,2022402814,183052230350,90.5
11,2007,1,전체,전체,"사업시설관리,사업지원서비스업",18026,53359876,4841270724,90.7
12,2007,1,전체,전체,교육 서비스업,31803,265442442,22462334598,84.6
13,2007,1,전체,전체,보건업 및 사회복지 서비스업,23201,97456791,7646477565,78.5
14,2007,1,전체,전체,"예술,스포츠및여가관련서비스업",25025,266535088,18248395260,68.5
15,2007,1,전체,전체,"협회단체,수리기타개인서비스업",2,4526,451296,99.7
16,2007,1,전체,전체,국제 및 외국기관,234,55527446,4147505439,74.7
17,2007,2,전체,전체,"농업, 임업 및 어업 ",1541592,565053418,25519143478,45.2
18,2007,2,전체,전체,광업 ,14025,145798467,5864352728,40.2
19,2007,2,전체,전체,제조업 ,145200,8733432174,553066341444,63.3
20,2007,2,전체,전체,"전기, 가스, 증기 및 수도사업 ",1899,285564326,20662587093,72.4
21,2007,2,전체,전체,도매 및 소매업,21651,97569683,9000911919,92.3
22,2007,2,전체,전체,운수업,339259,905318365,83616421557,92.4
23,2007,2,전체,전체,숙박 및 음식점업 ,40279,328370650,26003379861,79.2
24,2007,2,전체,전체,"출판영상,방송통신정보서비스업",10009,368485101,25858656705,70.2
25,2007,2,전체,전체,금융 및 보험업 ,63563,317593298,26027244899,82.0
26,2007,2,전체,전체,"전문, 과학 및 기술 서비스업 ",522881,1966207984,179447437518,91.3
27,2007,2,전체,전체,"사업시설관리,사업지원서비스업",18128,51330424,4708626572,91.7
28,2007,2,전체,전체,교육 서비스업,31822,256726006,21935114740,85.4
29,2007,2,전체,전체,보건업 및 사회복지 서비스업,23545,99423487,7602808557,76.5
30,2007,2,전체,전체,"예술,스포츠및여가관련서비스업",25121,248986636,17680891539,71.0
31,2007,2,전체,전체,"협회단체,수리기타개인서비스업",2,4369,440809,100.9
32,2007,2,전체,전체,국제 및 외국기관,232,56071836,4089541906,72.9
